Estimate	Std. Error	t value	Pr(>|t|)
sf1M1	0.0310909217210651	0.00195000416575363	15.9440283600877	2.33549679044411e-55
sf1M2	0.0284915303569416	0.00188301551772929	15.1307995545885	3.42608720252063e-50
sf1M3	0.0205260893225481	0.00178038851746951	11.5289944420233	3.16952227769605e-30
scsf1M1	0.0325420242098235	0.00209687566101853	15.5192913031461	1.60309393196455e-52
scsf1M2	0.0289739550947519	0.00202836708376485	14.2843745230638	5.47883364905667e-45
scsf1M3	0.0214225152641937	0.00192484092206444	11.1294990763276	2.78134798135101e-28
scsf2aM1	-0.0415648281573296	0.003710387854095	-11.2022866050125	1.26358484032931e-28
scsf2aM2	-0.0372958586592417	0.00356345216825566	-10.4662155960686	2.99946009787647e-25
scsf2aM3	-0.026369419815341	0.00335046697920908	-7.87037149715942	4.72538693129555e-15
scsf2bM1	-0.0457173908389011	0.00347255556270132	-13.165344661422	1.25552728545703e-38
scsf2bM2	-0.041495437458491	0.00333892017086226	-12.4278016050246	1.07265753062873e-34
scsf2bM3	-0.0322844165880226	0.00313839196624895	-10.2869294005393	1.86511257940053e-24
scsf3aM1	-0.0233201499703376	0.00204427268183539	-11.4075534920323	1.32822788847857e-29
scsf3aM2	-0.0211416877744845	0.00196132436071848	-10.7792918896596	1.16807929463877e-26
scsf3aM3	-0.0149391087700746	0.0018457252198533	-8.09389643126943	7.98718698794941e-16
scsf3bM1	-0.026435008890434	0.00212316895899401	-12.4507325610861	8.24255732394383e-35
scsf3bM2	-0.0234128101216845	0.00204222799960468	-11.4643468438473	7.25639120304962e-30
scsf3bM3	-0.0177799498380754	0.00191799729041001	-9.27005993542077	3.26087523612937e-20
scsf5M1	0.0224518291509835	0.00196698637625284	11.4143287528787	1.23269695120969e-29
scsf5M2	0.0200054490191132	0.00189037952676587	10.5827685583007	9.05585865304236e-26
scsf5M3	0.0156493823062029	0.00176720352644011	8.85544990832344	1.32099179865418e-18
scsf7M1	-0.0266615291963854	0.00224086244042237	-11.8978874898542	5.24413523913385e-32
scsf7M2	-0.0244314415924849	0.00214856150292452	-11.3710692289841	1.98779311961871e-29
scsf7M3	-0.0168481350836254	0.00202968519400901	-8.30086120416889	1.47675426078561e-16
